"id","Season","GP","Mins","G","A","Shots","SOG","FC","OFF","Y","R"
-93955,"2018/2019",1,68,0,0,0,0,0,0,0,0
-93954,"2018/2019",8,387,0,0,4,0,16,0,2,0
-93953,"2018/2019",3,79,0,0,0,0,0,0,0,0
-93949,"2018/2019",5,160,0,0,0,0,2,0,1,0
-93948,"2018/2019",1,96,0,0,0,0,0,0,0,0
-93947,"2018/2019",7,626,0,0,0,0,0,0,0,1
-93912,"2018/2019",8,417,1,0,4,3,6,1,2,0
-93906,"2018/2019",1,14,0,0,0,0,0,2,0,0
-93905,"2018/2019",2,40,0,0,0,0,2,0,0,0
-93904,"2018/2019",1,27,0,0,0,0,0,0,0,0
-93902,"2018/2019",2,21,0,0,0,0,0,0,0,0
-93901,"2018/2019",6,257,0,0,2,0,3,2,0,0
-93899,"2018/2019",1,9,0,0,0,0,0,0,0,0
-93897,"2018/2019",8,381,0,0,2,0,1,7,0,0
-93881,"2018/2019",11,671,2,1,17,5,8,1,0,0
-93880,"2018/2019",3,93,0,0,1,1,4,1,0,0
-93879,"2018/2019",7,157,0,0,1,1,3,0,0,0
-93851,"2018/2019",4,165,0,0,2,2,3,0,1,0
-93850,"2018/2019",10,810,3,0,22,11,15,9,1,0
-93849,"2018/2019",11,902,2,1,20,11,13,0,2,0
-93845,"2018/2019",4,64,0,0,1,0,5,0,1,0
-93841,"2018/2019",4,105,0,0,0,0,0,1,0,0
-93840,"2018/2019",5,418,0,0,0,0,4,0,2,0
-93834,"2018/2019",3,153,0,0,0,0,4,0,0,0
-93833,"2018/2019",2,85,0,0,1,0,1,0,0,0
-93830,"2018/2019",4,197,1,1,5,2,6,0,2,0
-93826,"2018/2019",6,145,0,1,3,0,5,0,1,0
-93810,"2018/2019",3,274,0,0,0,0,0,0,0,0
-93768,"2018/2019",19,1333,1,1,16,7,10,0,5,1
-93767,"2018/2019",10,777,1,2,19,7,5,2,2,0
-93724,"2018/2019",5,56,0,0,1,1,0,0,0,0
-93708,"2018/2019",10,695,1,0,6,5,14,3,2,0
-93707,"2018/2019",7,213,0,0,5,2,0,1,0,0
-93704,"2018/2019",5,362,0,0,0,0,9,0,1,0
-93689,"2018/2019",8,355,1,0,3,2,7,0,1,0
-93688,"2018/2019",2,47,0,0,0,0,0,0,0,0
-93687,"2018/2019",2,23,0,0,0,0,0,0,0,0
-93612,"2018/2019",9,319,0,0,2,0,6,1,1,0
-93611,"2018/2019",10,794,1,1,12,5,16,5,3,0
-93582,"2018/2019",2,76,0,0,2,1,0,0,0,0
-93581,"2018/2019",2,44,0,1,0,0,1,0,0,0
-93579,"2018/2019",17,984,3,2,19,8,17,10,2,0
-93569,"2018/2019",3,277,0,0,0,0,0,0,0,0
-93568,"2018/2019",4,135,0,0,2,1,1,0,0,0
-93561,"2018/2019",14,586,0,0,4,0,7,1,1,1
-93547,"2018/2019",1,19,0,0,0,0,0,0,0,0
-93543,"2018/2019",11,195,2,0,6,4,10,4,1,0
-93533,"2018/2019",18,1079,3,0,17,10,17,9,3,0
-93482,"2018/2019",1,84,0,0,2,0,2,0,0,0
-93480,"2018/2019",1,92,0,0,1,0,3,0,0,0
-93477,"2018/2019",1,98,0,0,3,1,1,0,0,0
-93475,"2018/2019",1,98,0,0,0,0,0,0,0,0
-93468,"2018/2019",1,59,0,0,0,0,0,0,0,0
-93463,"2018/2019",1,27,0,0,0,0,0,0,0,0
-93462,"2018/2019",2,56,0,0,2,1,0,0,0,0
-93460,"2018/2019",1,21,0,0,0,0,0,0,0,0
-93459,"2018/2019",2,143,0,0,3,0,0,2,0,0
-93458,"2018/2019",1,49,1,0,1,1,2,1,0,0
-93456,"2018/2019",2,178,0,0,0,0,7,0,2,0
-93449,"2018/2019",2,115,0,1,1,0,3,0,0,0
-93443,"2018/2019",7,480,1,0,6,3,6,1,2,0
-93432,"2018/2019",1,16,0,0,0,0,1,0,0,0
-93431,"2018/2019",8,612,1,0,5,1,11,0,0,0
-93430,"2018/2019",9,373,0,2,9,2,11,2,1,0
-93429,"2018/2019",1,50,0,0,0,0,1,1,0,0
-93422,"2018/2019",1,96,0,1,0,0,0,0,0,0
-93418,"2018/2019",2,165,2,0,5,3,0,0,0,0
-93409,"2018/2019",1,94,0,0,0,0,0,0,0,0
-93345,"2018/2019",1,97,0,0,1,0,2,0,1,0
-93344,"2018/2019",5,112,0,0,1,1,1,0,0,0
-93170,"2018/2019",3,69,0,1,0,0,2,0,0,0
-93169,"2018/2019",12,1118,1,1,4,1,18,1,2,0
-93168,"2018/2019",1,35,0,0,0,0,1,0,0,0
-93161,"2018/2019",5,88,0,0,2,0,3,1,0,0
-93157,"2018/2019",6,530,1,1,6,1,17,1,1,1
-93154,"2018/2019",6,345,0,1,2,1,4,3,1,0
-93151,"2018/2019",12,923,0,2,10,4,18,0,1,0
-93150,"2018/2019",9,680,0,0,3,1,15,2,1,0
-93148,"2018/2019",7,391,3,0,6,4,3,1,0,0
-93144,"2018/2019",1,68,0,0,0,0,1,0,1,0
-93142,"2018/2019",10,908,5,1,23,9,16,10,2,0
-93141,"2018/2019",1,20,0,0,1,0,0,0,0,0
-93140,"2018/2019",1,13,0,0,0,0,1,1,0,0
-93139,"2018/2019",1,74,0,0,0,0,0,0,0,0
-93136,"2018/2019",4,115,0,0,1,0,1,1,0,0
-93135,"2018/2019",10,713,1,1,18,4,4,1,1,0
-93134,"2018/2019",3,203,0,0,0,0,1,0,0,0
-93132,"2018/2019",5,223,0,0,0,0,3,0,1,0
-93130,"2018/2019",3,270,0,0,0,0,3,0,0,0
-93129,"2018/2019",1,95,0,0,0,0,0,0,0,0
-93065,"2018/2019",3,42,0,0,1,1,0,0,0,0
-93063,"2018/2019",5,178,0,0,1,0,2,1,0,0
-93061,"2018/2019",3,282,0,0,0,0,3,0,0,0
-93059,"2018/2019",5,286,0,0,1,0,4,0,1,0
-93058,"2018/2019",4,349,0,1,9,2,9,1,1,0
-93056,"2018/2019",4,329,0,0,1,1,4,0,1,0
-92926,"2018/2019",4,59,0,0,1,0,0,0,0,0
-92924,"2018/2019",15,1360,0,0,10,2,21,0,4,1
-92919,"2018/2019",1,12,0,0,0,0,0,0,0,0
