"player_id","position_cluster","minutes"
-92553,"Central Defender",175
-92552,"Central Defender",33
-92551,"Left-Sided Midfielder/Fullback",20
-92551,"Right-Sided Attacker",10
-92531,"Central Midfielder",173
-92531,"Left-Sided Midfielder/Fullback",25
-92527,"Central Forward",32
-92526,"Left-Sided Midfielder/Fullback",395
-92523,"Central Defender",15
-92523,"Central Forward",67
-92523,"Left-Sided Midfielder/Fullback",46
-92523,"Right-Sided Midfielder/Fullback",21
-92522,"Central Defender",189
-92516,"Central Defender",165
-92516,"Right-Sided Midfielder/Fullback",800
-92515,"Central Forward",118
-92515,"Central Midfielder",9
-92515,"Right-Sided Attacker",20
-92501,"Central Forward",17
-92501,"Right-Sided Attacker",388
-92500,"Central Forward",28
-92498,"Central Defender",917
-92497,"Central Midfielder",306
-92497,"Right-Sided Midfielder/Fullback",360
-92495,"Central Defender",66
-92491,"Central Defender",810
-92434,"Central Forward",255
-92434,"Central Midfielder",186
-92434,"Right-Sided Attacker",60
-92434,"Right-Sided Midfielder/Fullback",45
-92408,"Central Midfielder",200
-92400,"Left-Sided Attacker",83
-92400,"Left-Sided Midfielder/Fullback",18
-92199,"Central Midfielder",9
-92199,"Left-Sided Midfielder/Fullback",109
-92199,"Right-Sided Midfielder/Fullback",46
-92191,"Central Forward",146
-92148,"Left-Sided Attacker",71
-92131,"Left-Sided Midfielder/Fullback",63
-92131,"Right-Sided Midfielder/Fullback",59
-92130,"Central Forward",259
-92130,"Right-Sided Midfielder/Fullback",367
-92129,"Central Defender",18
-92129,"Left-Sided Midfielder/Fullback",341
-92127,"Central Defender",462
-92127,"Right-Sided Midfielder/Fullback",72
-92124,"Left-Sided Attacker",10
-92121,"Central Forward",24
-92105,"Central Forward",380
-92103,"Central Defender",416
-92103,"Central Midfielder",11
-92102,"Left-Sided Midfielder/Fullback",90
-92102,"Right-Sided Midfielder/Fullback",26
-92100,"Right-Sided Attacker",23
-92099,"Central Forward",274
-92053,"Central Forward",67
-92050,"Central Midfielder",46
-92050,"Right-Sided Midfielder/Fullback",14
