"id","positions"
"291585","RW"
"64680","GK"
"322329","RCB"
"394807","AMF"
"131663","RCB"
"387005","RDMF"
"377539","LDMF"
"377539","LCMF"
"377539","RDMF"
"398754","AMF"
"398754","RAMF"
"398754","LAMF"
"75061","LB"
"301076","GK"
"275116","LB"
"81320","GK"
"407736","CF"
"149059","GK"
"16344","RCB"
"315849","LCMF3"
"315849","AMF"
"315849","LDMF"
"408534","RDMF"
"284215","AMF"
"61206","GK"
"78529","LCB"
"319305","LAMF"
"319305","RAMF"
"319305","RWF"
"215544","LDMF"
"314031","LB"
"399771","LAMF"
"399771","RAMF"
"65056","CF"
"65056","AMF"
"327531","RAMF"
"327531","LAMF"
"327531","CF"
"335401","RB"
"207175","CF"
"157946","CF"
"185429","RCB"
"185429","LCB"
"185429","RB"
"332688","CF"
"332688","LW"
"19677","CF"
"477598","RCMF3"
"477598","LW"
"477598","RAMF"
"252081","CF"
"252081","AMF"
"252081","RB"
"260550","LB"
"260550","LB5"
"88182","LCB3"
"88182","LB"
"83456","RCB3"
"83456","CB"
"394561","RW"
"394561","LW"
"394561","LWF"
"2177","LCMF3"
"2177","LCMF"
"2177","LAMF"
"399764","RB"
"17327","LCB"
"17327","CB"
"228067","CF"
"228067","AMF"
"268062","LB"
"268062","LDMF"
"302164","RB"
"85019","GK"
"161307","DMF"
"161307","RDMF"
"161307","RCMF"
"283839","AMF"
"283839","LCMF"
"283839","RCMF3"
"328107","RW"
"328107","LWF"
"328107","RAMF"
"452177","CF"
"452177","LWF"
"452177","RWF"
"324724","LCMF3"
"324724","LDMF"
"195206","RB"
"195206","RB5"
"475895","RAMF"
"303254","GK"
"115229","RCB"
"434326","RCB"
"434326","LCB"
"441012","LB"
"168503","AMF"
"168503","RCMF"
"168503","LCMF"
"59077","RCB"
"2401","RAMF"
"2401","RW"
"2401","RWF"
"24652","LB"
"407738","RB"
"360231","CF"
"213587","AMF"
"213587","RCMF"
"213587","RCMF3"
"52888","LAMF"
"52888","LW"
"52888","LWF"
"57758","RDMF"
"57758","RCMF"
