"acceleration_success","action_in_counterattack_success","aerial_duel_success","ball_delivery_to_danger_zone_success","ball_delivery_to_penalty_area_success","ball_entry_in_final_third_success","controlled_box_entry_success","controlled_penalty_area_entry_success","cross_to_penalty_area_success","cross_to_goalie_box_success","dangerous_opponent_half_recovery_success","dangerous_own_half_loss_success","defensive_duel_success","dribble_success","forward_pass_success","foul","free_kick_success","interception_success","key_pass_success","loose_ball_duel_success","opportunity_success","opportunity_creation_success","pass_to_zone_fourteen_success","pass_to_final_third_success","pass_to_penalty_area_success","progressive_pass_success","progressive_run_success","recovery_success","recovery_counterpressing_success","red_cards","smart_pass_success","shot_after_corner_success","shot_after_free_kick_success","shot_after_throw_in_success","shot_assist_success","shot_buildup_pass_success","shot_from_cross_success","shot_from_danger_zone_success","shot_from_outside_area_success","through_pass_success","throw_in_success","touch_in_box_success","touch_success","vertical_pass_success","yellow_cards","result"
4,0,10,0,1,0,0,0,0,0,4,0,20,13,93,11,0,22,0,16,1,0,8,25,1,36,3,96,50,0,0,0,0,0,0,0,0,0,1,0,10,1,0,62,0,"0"
4,0,19,0,24,0,0,3,7,0,6,0,23,33,131,8,3,9,5,17,3,5,34,56,21,89,8,95,42,0,8,0,1,0,12,0,0,1,1,8,12,11,0,97,0,"0"
8,0,11,0,8,0,0,2,1,1,4,0,11,16,69,12,2,27,3,7,5,4,17,26,6,42,5,66,26,0,3,1,1,2,9,0,1,2,1,1,10,5,0,75,2,"0"
28,0,18,0,11,5,0,2,5,1,5,1,12,26,140,17,1,25,2,8,5,4,14,53,9,78,18,93,56,0,7,2,1,0,7,0,1,2,3,7,13,4,0,138,2,"0"
2,0,17,0,3,1,0,0,3,0,0,0,9,8,65,16,3,15,1,16,2,1,15,27,3,37,1,59,33,0,0,0,0,2,3,0,1,1,0,1,22,3,0,28,3,"0"
5,0,20,0,12,1,0,1,2,1,6,1,18,17,93,13,1,24,0,11,6,2,15,24,11,48,5,90,46,0,3,0,0,0,6,0,2,5,0,4,17,5,0,148,3,"1"
8,0,15,0,8,1,0,0,4,0,4,0,13,20,111,11,6,16,3,7,5,3,28,43,8,66,7,75,35,0,2,0,0,0,8,0,2,1,3,1,18,8,0,104,3,"0"
4,0,18,0,11,2,0,1,3,0,4,0,14,20,83,18,2,22,3,9,5,2,14,29,10,40,4,77,34,0,2,0,0,1,6,0,1,3,1,3,16,8,0,75,0,"1"
5,0,15,0,8,0,0,2,2,0,1,0,14,15,76,6,1,26,2,1,4,3,19,29,6,48,3,68,33,0,2,1,0,0,5,0,0,2,2,1,22,9,0,89,1,"0"
6,0,15,0,16,2,0,2,4,0,5,1,19,18,97,15,0,21,4,14,8,5,25,53,14,67,3,92,44,0,8,0,0,2,11,0,0,1,3,8,25,11,0,111,3,"1"
6,0,18,0,16,0,0,1,9,1,5,2,17,22,95,19,3,11,3,12,5,4,18,51,15,74,5,74,34,1,4,0,0,1,12,0,1,4,0,2,21,6,0,119,3,"0"
8,0,25,0,3,0,0,1,0,0,4,0,12,19,66,12,1,22,0,12,4,2,12,26,2,43,4,80,46,0,2,0,0,2,6,0,0,0,3,1,17,1,0,58,3,"0"
5,0,22,0,9,3,0,2,5,1,1,0,12,11,100,20,2,11,2,16,3,3,15,44,7,46,5,77,44,0,2,0,0,0,7,0,1,2,0,0,16,5,0,123,1,"0"
2,0,23,0,1,0,0,0,0,0,0,0,4,6,52,14,2,21,0,6,0,0,3,17,1,28,1,63,25,0,1,0,0,0,3,0,0,0,0,0,19,0,0,48,1,"0"
1,0,6,0,3,2,0,0,2,0,0,1,11,4,72,12,0,15,2,4,1,2,16,17,3,35,3,52,20,0,0,1,0,0,3,0,0,2,0,0,13,1,0,91,3,"0"
2,0,12,0,16,4,1,0,4,1,7,0,10,13,154,10,1,15,4,14,8,5,40,75,16,96,3,90,42,0,3,1,0,0,16,0,1,3,2,2,19,10,0,253,2,"1"
5,0,13,0,7,2,0,1,2,0,4,1,29,15,95,10,0,19,1,8,3,0,19,28,6,49,6,93,31,0,3,0,0,0,6,0,0,0,3,2,8,0,0,97,0,"0"
11,0,14,0,14,2,0,2,5,0,6,0,19,36,136,9,0,27,3,9,6,4,16,40,12,77,13,101,49,0,1,1,0,0,7,0,0,2,3,3,19,5,0,114,1,"1"
3,0,10,0,12,3,0,2,2,2,4,0,27,26,106,18,2,20,1,15,4,2,7,46,10,65,6,90,33,0,6,0,0,0,4,0,0,2,1,2,14,7,0,85,1,"0"
