"id","position_cluster"
"-55623","Central Midfielder"
"-56164","Central Defender"
"-56763","Central Midfielder"
"-56763","Left-Sided Midfielder/Fullback"
"-56764","Central Midfielder"
"-56764","Left-Sided Midfielder/Fullback"
"-56766","Central Midfielder"
"-56767","Left-Sided Midfielder/Fullback"
"-56767","Right-Sided Midfielder/Fullback"
"-56770","Right-Sided Midfielder/Fullback"
"-56770","Left-Sided Attacker"
"-56770","Left-Sided Midfielder/Fullback"
"-56771","Central Midfielder"
"-56778","Central Midfielder"
"-56778","Left-Sided Midfielder/Fullback"
"-56778","Right-Sided Attacker"
"-56779","Central Midfielder"
"-56780","Central Midfielder"
"-56780","Left-Sided Midfielder/Fullback"
"-56783","Central Defender"
"-56805","Central Defender"
"-56808","Central Midfielder"
"-56808","Right-Sided Midfielder/Fullback"
"-56811","Left-Sided Attacker"
"-56812","Right-Sided Midfielder/Fullback"
"-56852","Central Defender"
"-56852","Right-Sided Midfielder/Fullback"
"-56853","Central Defender"
"-56854","Central Defender"
"-56854","Right-Sided Midfielder/Fullback"
"-56859","Right-Sided Midfielder/Fullback"
"-56860","Central Defender"
"-56861","Central Midfielder"
"-56861","Right-Sided Attacker"
"-56883","Right-Sided Attacker"
"-56886","Right-Sided Attacker"
"-56886","Central Forward"
"-56886","Left-Sided Attacker"
"-57045","Central Forward"
"-57050","Central Forward"
"-57050","Left-Sided Attacker"
"-57050","Right-Sided Attacker"
"-57157","Left-Sided Midfielder/Fullback"
"-57163","Left-Sided Midfielder/Fullback"
"-57163","Central Midfielder"
"-57257","Central Forward"
"-57259","Central Midfielder"
"-57259","Right-Sided Midfielder/Fullback"
"-57262","Central Forward"
"-57263","Right-Sided Midfielder/Fullback"
"-57266","Central Defender"
"-58461","Central Forward"
"-58463","Left-Sided Midfielder/Fullback"
"-58463","Right-Sided Midfielder/Fullback"
"-58464","Right-Sided Midfielder/Fullback"
"-58565","Central Forward"
"-58682","Central Forward"
"-58690","Left-Sided Midfielder/Fullback"
"-58743","Right-Sided Attacker"
"-58759","Central Midfielder"
"-58759","Left-Sided Attacker"
"-58764","Central Midfielder"
"-58770","Left-Sided Attacker"
"-58770","Right-Sided Attacker"
"-58808","Central Defender"
"-58828","Central Forward"
"-58841","Central Defender"
"-58841","Right-Sided Midfielder/Fullback"
"-58843","Right-Sided Midfielder/Fullback"
"-58846","Central Defender"
"-58851","Central Midfielder"
"-59003","Left-Sided Midfielder/Fullback"
"-59007","Left-Sided Attacker"
"-59007","Left-Sided Midfielder/Fullback"
"-59020","Central Forward"
"-59020","Left-Sided Attacker"
"-59035","Left-Sided Midfielder/Fullback"
"-59037","Central Defender"
